Device,CVE,CVSS Base Score 2.0,Impact Subcore,Exploitability Subscore
smart_tv_A_0,CVE-2019-11336,4.3,2.9,8.6
smart_thermostat_A_0,CVE-2018-11315,3.3,2.9,6.5
cleaner_A_0,CVE-2018-10987,8.5,10,6.8
light_A_0,CVE-2020-6007,4.3,6.4,3.2
ip_camera_A_0,CVE-2020-3110,8.3,10,6.5
smart_meter_A_0,CVE-2017-9944,10,10,10
smart_tv_A_1,CVE-2019-11336,4.3,2.9,8.6
smart_thermostat_A_1,CVE-2018-11315,3.3,2.9,6.5
cleaner_A_1,CVE-2018-10987,8.5,10,6.8
light_A_1,CVE-2020-6007,4.3,6.4,3.2
ip_camera_A_1,CVE-2020-3110,8.3,10,6.5
smart_meter_A_1,CVE-2017-9944,10,10,10
smart_tv_A_2,CVE-2019-11336,4.3,2.9,8.6
smart_thermostat_A_2,CVE-2018-11315,3.3,2.9,6.5
cleaner_A_2,CVE-2018-10987,8.5,10,6.8
light_A_2,CVE-2020-6007,4.3,6.4,3.2
ip_camera_A_2,CVE-2020-3110,8.3,10,6.5
smart_meter_A_2,CVE-2017-9944,10,10,10
smart_tv_A_3,CVE-2019-11336,4.3,2.9,8.6
smart_thermostat_A_3,CVE-2018-11315,3.3,2.9,6.5
cleaner_A_3,CVE-2018-10987,8.5,10,6.8
light_A_3,CVE-2020-6007,4.3,6.4,3.2
ip_camera_A_3,CVE-2020-3110,8.3,10,6.5
smart_meter_A_3,CVE-2017-9944,10,10,10
smart_tv_B_0,CVE-2019-11336,4.3,2.9,8.6
smart_thermostat_B_0,CVE-2018-11315,3.3,2.9,6.5
cleaner_B_0,CVE-2018-10987,8.5,10,6.8
light_B_0,CVE-2020-6007,4.3,6.4,3.2
ip_camera_B_0,CVE-2020-3110,8.3,10,6.5
smart_meter_B_0,CVE-2017-9944,10,10,10
smart_tv_B_1,CVE-2019-11336,4.3,2.9,8.6
smart_thermostat_B_1,CVE-2018-11315,3.3,2.9,6.5
cleaner_B_1,CVE-2018-10987,8.5,10,6.8
light_B_1,CVE-2020-6007,4.3,6.4,3.2
ip_camera_B_1,CVE-2020-3110,8.3,10,6.5
smart_meter_B_1,CVE-2017-9944,10,10,10
smart_tv_B_2,CVE-2019-11336,4.3,2.9,8.6
smart_thermostat_B_2,CVE-2018-11315,3.3,2.9,6.5
cleaner_B_2,CVE-2018-10987,8.5,10,6.8
light_B_2,CVE-2020-6007,4.3,6.4,3.2
ip_camera_B_2,CVE-2020-3110,8.3,10,6.5
smart_meter_B_2,CVE-2017-9944,10,10,10
smart_tv_B_3,CVE-2019-11336,4.3,2.9,8.6
smart_thermostat_B_3,CVE-2018-11315,3.3,2.9,6.5
cleaner_B_3,CVE-2018-10987,8.5,10,6.8
light_B_3,CVE-2020-6007,4.3,6.4,3.2
ip_camera_B_3,CVE-2020-3110,8.3,10,6.5
smart_meter_B_3,CVE-2017-9944,10,10,10
smart_tv_C_0,CVE-2019-11336,4.3,2.9,8.6
smart_thermostat_C_0,CVE-2018-11315,3.3,2.9,6.5
cleaner_C_0,CVE-2018-10987,8.5,10,6.8
light_C_0,CVE-2020-6007,4.3,6.4,3.2
ip_camera_C_0,CVE-2020-3110,8.3,10,6.5
smart_meter_C_0,CVE-2017-9944,10,10,10
smart_tv_C_1,CVE-2019-11336,4.3,2.9,8.6
smart_thermostat_C_1,CVE-2018-11315,3.3,2.9,6.5
cleaner_C_1,CVE-2018-10987,8.5,10,6.8
light_C_1,CVE-2020-6007,4.3,6.4,3.2
ip_camera_C_1,CVE-2020-3110,8.3,10,6.5
smart_meter_C_1,CVE-2017-9944,10,10,10
smart_tv_C_2,CVE-2019-11336,4.3,2.9,8.6
smart_thermostat_C_2,CVE-2018-11315,3.3,2.9,6.5
cleaner_C_2,CVE-2018-10987,8.5,10,6.8
light_C_2,CVE-2020-6007,4.3,6.4,3.2
ip_camera_C_2,CVE-2020-3110,8.3,10,6.5
smart_meter_C_2,CVE-2017-9944,10,10,10
smart_tv_C_3,CVE-2019-11336,4.3,2.9,8.6
smart_thermostat_C_3,CVE-2018-11315,3.3,2.9,6.5
cleaner_C_3,CVE-2018-10987,8.5,10,6.8
light_C_3,CVE-2020-6007,4.3,6.4,3.2
ip_camera_C_3,CVE-2020-3110,8.3,10,6.5
smart_meter_C_3,CVE-2017-9944,10,10,10
smart_tv_D_0,CVE-2019-11336,4.3,2.9,8.6
smart_thermostat_D_0,CVE-2018-11315,3.3,2.9,6.5
cleaner_D_0,CVE-2018-10987,8.5,10,6.8
light_D_0,CVE-2020-6007,4.3,6.4,3.2
ip_camera_D_0,CVE-2020-3110,8.3,10,6.5
smart_meter_D_0,CVE-2017-9944,10,10,10
smart_tv_D_1,CVE-2019-11336,4.3,2.9,8.6
